순위,노래,가수
1,Supernova,aespa
2,클락션 (Klaxon),(여자)아이들
3,How Sweet,NewJeans
4,Sticky,KISS OF LIFE
5,Small girl (feat. 도경수(D.O.)),이영지
6,Supernatural,NewJeans
7,소나기,이클립스 (ECLIPSE)
8,한 페이지가 될 수 있게,DAY6 (데이식스)
9,고민중독,QWER
10,Bubble Gum,NewJeans
11,나는 아픈 건 딱 질색이니까,(여자)아이들
12,Armageddon,aespa
13,Welcome to the Show,DAY6 (데이식스)
14,Magnetic,아일릿(ILLIT)
15,첫 만남은 계획대로 되지 않아,TWS (투어스)
16,해야 (HEYA),IVE (아이브)
17,SPOT! (feat. JENNIE),지코 (ZICO)
18,예뻤어,DAY6 (데이식스)
19,천상연,이창섭
20,에피소드,이무진
21,사랑은 늘 도망가,임영웅
22,Hype Boy,NewJeans
23,Boom Boom Bass,RIIZE
24,미안해 미워해 사랑해,Crush
25,슬픈 초대장,순순희(지환)
26,Love wins all,아이유
27,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
28,비의 랩소디,임재현
29,I AM,IVE (아이브)
30,Seven (feat. Latto) - Clean Ver.,정국
31,온기,임영웅
32,우리들의 블루스,임영웅
33,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
34,ETA,NewJeans
35,To. X,태연 (TAEYEON)
36,Home,임영웅
37,Super Shy,NewJeans
38,Attention,NewJeans
39,모래 알갱이,임영웅
40,오래된 노래,허각
41,헤어지자 말해요,임한별
42,다시 만날 수 있을까,이무진
43,이제 나만 믿어요,이진성 (먼데이 키즈)
44,Ditto,김희재
45,밤양갱,#안녕
46,Drama,박재정
47,Do or Die,임영웅
48,무지개,임영웅
49,SHEESH,NewJeans
50,너의 모든 순간,비비 (BIBI)
51,WAY 4 LUV,aespa
52,London Boy,임영웅
53,Spicy,임영웅
54,Polaroid,BABYMONSTER
55,청혼하지 않을 이유를 못 찾았어,성시경
56,사랑인가 봐,PLAVE
57,주저하는 연인들을 위해,임영웅
58,LOVE DIVE,aespa
59,Girls Never Die,임영웅
60,퀸카 (Queencard),이무진
61,Dynamite,멜로망스
62,인생찬가,잔나비
63,사건의 지평선,IVE (아이브)
64,인사,tripleS (트리플에스)
65,파이팅 해야지 (Feat. 이영지),(여자)아이들
66,Get A Guitar,방탄소년단
67,Accendio,임영웅
68,Love 119,윤하 (YOUNHA)
69,OMG,범진
70,우리 영화,부석순 (SEVENTEEN)
71,Love Lee,RIIZE
72,Perfect Night,IVE (아이브)
73,그랬나봐,RIIZE
74,사막에서 꽃을 피우듯,NewJeans
75,Cosmic,PLAVE
76,MANIAC,AKMU (악뮤)
77,"모든 날, 모든 순간 (Every day, Every Moment)",LE SSERAFIM (르세라핌)
78,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",유회승 (엔플라잉)
79,다정히 내 이름을 부르면,우디 (Woody)
80,I Don't Think That I Like Her,Red Velvet (레드벨벳)
81,연애편지,VIVIZ (비비지)
82,꿈,폴킴
83,취중고백,AKMU (악뮤)
84,삐그덕 (Walk),경서예지
85,From,전건호
86,Midas Touch,Charlie Puth
87,봄날,임영웅
88,네가 내 마음에 자리 잡았다 (Into You),태연 (TAEYEON)
89,Watch Me Woo!,김민석
90,봄눈,NCT 127
91,MAESTRO,PLAVE
92,보금자리,KISS OF LIFE
93,Lucky Girl Syndrome,방탄소년단
94,EASY,엔플라잉 (N.Flying)
95,Impossible,PLAVE
96,Right Now,10CM
97,버추얼 아이돌,세븐틴 (SEVENTEEN)
98,내가 그댈,임영웅
99,Siren,아일릿(ILLIT)
100,Who,LE SSERAFIM (르세라핌)
