순위,노래,앨범,좋아요
1위,Supernova,Armageddon - The 1st Album,['0']
2위,클락션 (Klaxon),I SWAY,['0']
3위,How Sweet,How Sweet,['0']
4위,Sticky,Sticky,['0']
5위,Small girl (feat. 도경수(D.O.)),16 Fantasy,['0']
6위,Supernatural,Supernatural,['0']
7위,Bubble Gum,How Sweet,['0']
8위,Armageddon,Armageddon - The 1st Album,['0']
9위,별별별 (See that?),Fe3O4: STICK OUT,['0']
10위,Boom Boom Bass,RIIZING - The 1st Mini Album,['0']
11위,내가 S면 넌 나의 N이 되어줘,TWS 2nd Mini Album ‘SUMMER BEAT!’,['0']
12위,오래된 노래,오래된 노래,['0']
13위,Cosmic,Cosmic,['0']
14위,삐그덕 (Walk),WALK - The 6th Album,['0']
15위,SICKUHH (Feat. Kid Milli),Fe3O4: STICK OUT,['0']
16위,네가 내 마음에 자리 잡았다 (Into You),네가 내 마음에 자리 잡았다,['0']
17위,Live My Life,Armageddon - The 1st Album,['0']
18위,Who,MUSE,['0']
19위,Sexy In The Air,ETERNAL,['0']
20위,Supersonic,Supersonic,['0']
21위,봄눈,선재 업고 튀어 OST Part 8,['0']
22위,Right Now,Supernatural,['0']
23위,"Red light sign, but we go",Fe3O4: STICK OUT,['0']
24위,내가 그댈,내가 그댈,['0']
25위,BEAT BEAT,Fe3O4: STICK OUT,['0']
26위,Moving On,Fe3O4: STICK OUT,['0']
27위,플러팅,플러팅,['0']
28위,Horizon,ETERNAL,['0']
29위,Love Is Lonely,Fe3O4: STICK OUT,['0']
30위,G.O.A.T,ETERNAL,['0']
31위,Balloon in Love,Balloon in Love,['0']
32위,The Unknown Sea,ETERNAL,['0']
33위,처음 보는 나,gimbap,['0']
34위,Chk Chk Boom,ATE,['0']
35위,혼술하고 싶은 밤,혼술하고 싶은 밤,['0']
36위,Smeraldo Garden Marching Band (feat. 로꼬),MUSE,['0']
37위,Crush,ETERNAL,['0']
38위,Deja vu,ETERNAL,['0']
39위,Say Less,ETERNAL,['0']
40위,고민중독 (Ballad Ver.),허용별 프로젝트 - Special Single,['0']
41위,FOREVER,FOREVER,['0']
42위,T의 연애,T의 연애,['0']
43위,Be Mine,MUSE,['0']
44위,Slow Dance (feat. Sofia Carson),MUSE,['0']
45위,원하고 원망하죠 (웹툰 '세이렌' X 하은(포맨)),원하고 원망하죠 (웹툰 '세이렌' X 하은(포맨)),['0']
46위,ABCD,NA,['0']
47위,Rebirth (Intro),MUSE,['0']
48위,Ice Cream,Ice Cream,['0']
49위,빌런,FROM.,['0']
50위,17,17,['0']
51위,사랑한다는 말의 뜻을 알아가자 (Meaning of Love),WALK - The 6th Album,['0']
52위,Heaven,Heaven,['0']
53위,낙화,FROM.,['0']
54위,New Woman (Feat. ROSALA),New Woman (Feat. ROSALA),['0']
55위,어린왕자,어린왕자,['0']
56위,Die With A Smile,Die With A Smile,['0']
57위,Rockstar,Rockstar,['0']
58위,Dandelion,J - The 1st Album,['0']
59위,애상,애상,['0']
60위,바람이 불지 않은 것처럼,바람이 불지 않은 것처럼 (웹툰 '선녀외전' X 연변대학최씨),['0']
61위,Cheeky Icy Thang,Metamorphic,['0']
62위,웃으며,웃으며,['0']
63위,hey! hey!,TWS 2nd Mini Album ‘SUMMER BEAT!’,['0']
64위,romeo n juliet (feat. 유라 (youra)),gimbap,['0']
65위,Beat the Heat,Supersonic,['0']
66위,산책,산책,['0']
67위,MILLION DOLLAR BABY,MILLION DOLLAR BABY,['0']
68위,고백,gimbap,['0']
69위,OST ( Feat.CHANMINA ),OST,['0']
70위,내 탓이지 뭐,gimbap,['0']
71위,사랑인걸,사랑인걸,['0']
72위,"Don’t Worry, Be Happy",FANTASY,['0']
73위,그대가 웃으면 좋아,그대가 웃으면 좋아,['0']
74위,Never Let Go,Never Let Go,['0']
75위,여름아 부탁해,여름아 부탁해,['0']
76위,Roses,J - The 1st Album,['0']
77위,그 해 여름 우리는,그 해 여름 우리는,['0']
78위,Take A Chance,Supersonic,['0']
79위,처음 본 순간 (영화 사랑의 하츄핑 OST),처음 본 순간 (영화 사랑의 하츄핑 OST),['0']
80위,Pricey,WALK - The 6th Album,['0']
81위,이별 통보,이별 통보,['0']
82위,폭죽타임,PRE-RELEASE 3RD ALBUM [YEOK SEONG],['0']
83위,폭포,PRE-RELEASE 3RD ALBUM [YEOK SEONG],['0']
84위,하늘만 허락한 사랑,하늘만 허락한 사랑,['0']
85위,Interlude : Showtime,MUSE,['0']
86위,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,['0']
87위,여름이잖아 (Feat. 마크 of NCT),여름이잖아,['0']
88위,못난이,FROM.,['0']
89위,내 마음에 비친 내 모습,gimbap,['0']
90위,Songbird (Korean Ver.),Songbird,['0']
91위,ERROR 405,ERROR 405,['0']
92위,I Like That,낮과 밤이 다른 그녀 OST Part.4,['0']
93위,Strawberry Rush,Strawberry Rush,['0']
94위,rain,gimbap,['0']
95위,내게 어울릴 이별 노래가 없어 (Prod. 윤상),All The Way,['0']
96위,검을 현,PRE-RELEASE 3RD ALBUM [YEOK SEONG],['0']
97위,28k LOVE!!,PRE-RELEASE 3RD ALBUM [YEOK SEONG],['0']
98위,캐논,PRE-RELEASE 3RD ALBUM [YEOK SEONG],['0']
99위,리턴매치,PRE-RELEASE 3RD ALBUM [YEOK SEONG],['0']
100위,어젯밤 (Guitar by 박주원),정한 X 원우 1st Single Album 'THIS MAN',['0']
