매장명,지역,지역별 매장,주소,전화번호
방배역점,서울특별시,1,서울시 서초구 방배동 924-20 디엠타워 1층,02-3487-2830
롯데마트 서초점,서울특별시,2,서울특별시 서초구 서초동 1501-1 롯데마트 B1,02-2055-3506
교대역점,서울특별시,3,서울시 서초구 서초대로 287 석정빌딩 1층,02-3478-8310
신세계백화점 강남점,서울특별시,4,서울시 서초구 신반포로 176 신세계백화점 강남점 지하 1층,02-3479-1991
파미에스테이션점,서울특별시,5,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 FP102호,02-6282-3025
반포 쌍동빌딩점,서울특별시,6,서울특별시 서초구 고무래로 26 동관 1F 폴 바셋,02-3478-8530
뉴코아 강남점,서울특별시,7,서울시 서초구 잠원로 69 뉴코아 신관 1층,02-530-5517
서초본점,서울특별시,8,서울 서초구 사임당로 157 1층 101호,02-3487-3730
강남삼성타운점,서울특별시,9,서울시 서초구 서초동 1327-1홍우제2빌딩 1층,02-523-4210
교보문고 강남점,서울특별시,10,서울시 서초구 서초동 1303-22교보타워 지하 2층,02-3478-9010
강남역 삼성화재점,서울특별시,11,서울특별시 서초구 강남대로 355 1층,02-588-2570
GFC점,서울특별시,12,서울시 강남구 테헤란로 152강남파이낸스센터 지하 1층,02-2112-3887
용산아이파크몰점,서울특별시,13,서울시 용산구 한강대로 23길 55 아이파크몰 6층,02-2012-0690
롯데백화점 관악점,서울특별시,14,서울특별시 관악구 봉천로 209 롯데백화점 관악점 1층,02-3289-8172
한남 커피스테이션 / 로스트웍스,서울특별시,15,서울시 용산구 한남동 257-13,02-792-8310
현대모터스튜디오서울점,서울특별시,16,서울시 강남구 언주로 738 현대모터스튜디오 2층,02-514-6510
강남구청역점,서울특별시,17,서울시 강남구 청담동 41-2금하빌딩 1층,02-548-1910
압구정2호점,서울특별시,18,서울시 강남구 압구정로36길 8 1층,02-546-7310
롯데백화점 강남점,서울특별시,19,서울시 강남구 도곡로 401 롯데백화점 강남점 본관 1층,02-531-2375
여의도 IFC몰점,서울특별시,20,서울시 영등포구 여의도동 23 IFC몰 L2층,02-6137-5757
여의도점,서울특별시,21,서울시 영등포구 여의대로 66 하이투자 증권빌딩 B동 1층,02-3775-2330
청담역점,서울특별시,22,서울시 강남구 삼성로 651 래미안라클래시 103호,02-540-4830
청담점,서울특별시,23,서울시 강남구 도산대로 75길 22,02-548-4310
NC타워 삼성점,서울특별시,24,서울시 강남구 테헤란로 509NC타워 1층,02-568-9410
대치역점,서울특별시,25,서울특별시 강남구 삼성로 155 대치퍼스트빌딩1층,02-501-0570
여의도 국회대로점,서울특별시,26,서울시 영등포구 국회대로68길 17 해운빌딩 1층,02-3775-2130
여의도 현대카드 CAFE,서울특별시,27,"서울시 영등포구 의사당대로 3, 현대캐피탈 빌딩 1관 1층",02-2167-5171
코엑스몰점,서울특별시,28,서울 강남구 영동대로 513 코엑스몰 P104호,02-3454-0349
영등포 타임스퀘어점,서울특별시,29,서울특별시 영등포구 영중로 15 타임스퀘어 2층 교보문고,02-2638-2372
구로 G타워점,서울특별시,30,서울특별시 구로구 디지털로26길 38 1층,02-6077-3938
신세계백화점 본점,서울특별시,31,서울시 중구 퇴계로77 신세계백화점 본점 신관 지하 1층,02-310-1233
한국경제신문사점,서울특별시,32,서울시 중구 청파로 463 한국경제신문사 1층,02-362-9495
서소문점,서울특별시,33,서울특별시 중구 서소문로 124 씨티스퀘어 1층,02-772-9830
현대 디큐브시티점,서울특별시,34,서울시 구로구 경인로 662 디큐브시티 5층,02-2210-9543
고대구로병원점,서울특별시,35,서울특별시 구로구 구로동로 148 고대구로병원 본관 1층,02-867-4030
롯데백화점 본점,서울특별시,36,서울시 중구 남대문로 81 롯데백화점 본점 지하 1층,02-726-4250
을지로 파인에비뉴점,서울특별시,37,서울특별시 중구 을지로 100파인에비뉴 1층,02-6031-5110
페럼타워점,서울특별시,38,서울시 중구 을지로 5길 19 페럼타워 1층,02-6353-8991
일원역점,서울특별시,39,서울특별시 강남구 일원동 717 1층 폴 바셋,02-445-1430
코리아나호텔점,서울특별시,40,서울시 중구 세종대로 135 코리아나호텔 1층,02-730-9455
광화문 흥국생명점,서울특별시,41,서울특별시 종로구 새문안로 68 신문로사옥1층 일,02-3210-1650
롯데마트 양평점,서울특별시,42,서울시 영등포구 양평동3가 45 롯데마트 1층,02-2672-7090
AK플라자 홍대점,서울특별시,43,서울시 마포구 양화로 188 AK플라자 홍대점 1층,02-3142-5804
종각역점,서울특별시,44,서울특별시 종로구 종로 47 SC제일은행본점 폴 바셋,02-3446-8717
교보문고 합정점,서울특별시,45,서울특별시 마포구 월드컵로 1길 14딜라이트 스퀘어 B2,02-332-3730
광화문점,서울특별시,46,서울시 종로구 종로 1길 50 더K트윈타워 1층,02-3701-9170
롯데월드 아이스링크점,서울특별시,47,서울시 송파구 올림픽로 240 롯데월드아이스링크 지하 3층,02-2143-1128
수서역점,서울특별시,48,서울시 강남구 밤고개로 1길 10 수서 현대벤처빌B2  (지하철 기준 수서역 3번출구 내 현대벤처빌 초입에 위치),02-445-4730
투고 바 롯데월드 어드벤처점,서울특별시,49,서울시 송파구 올림픽로 240,-
롯데백화점 잠실점,서울특별시,50,서울시 송파구 올림픽로 240 롯데백화점 잠실점 신관 지하 1층,02-2143-1763
혜화역점,서울특별시,51,서울특별시 종로구 동숭동 1-36,02-743-5810
청량리역점,서울특별시,52,서울특별시 동대문구 왕산로 214 청량리역3층,02-960-1710
증미역점(with 피자 일뽀르노),서울특별시,53,서울특별시 강서구 등촌동 631-5번지 1층,02-2659-0350
