상호명,주소,전화번호,영업시간
이곱착한고기 사당본점,주소 정보 없음,전화번호 정보 없음,['영업시간 정보 없음']
정선콩국수 소소정,서울 서초구 동광로 68 1층 정선콩국수 소소정,0507-1433-8667,영업 중15:00에 브레이크타임15시 0분에 브레이크타임
애플하우스,서울 동작구 동작대로27다길 29 2층,02-595-1629,영업 중20:30에 라스트오더20시 30분에 라스트오더
외양간,서울 동작구 동작대로11길 16 1층,0507-1484-8223,영업 전15:00에 영업 시작15시 0분에 영업 시작
팔각도 이수역점,서울 동작구 동작대로27다길 12 1층,0507-1340-0420,영업 중22:10에 라스트오더22시 10분에 라스트오더
목구멍 이수점,서울 동작구 동작대로27길 16-4,0507-1417-1959,영업 전16:00에 영업 시작16시 0분에 영업 시작
이수가 본점,서울 동작구 동작대로29가길 30 1층,0507-1348-1372,영업 중14:30에 브레이크타임14시 30분에 브레이크타임
냅다청양집 이수점,서울 동작구 동작대로27가길 39 1층,0507-1381-3476,영업 중03:30에 라스트오더3시 30분에 라스트오더
이수곱창,서울 동작구 동작대로27가길 6-4 1층 이수곱창,010-4554-9469,영업 전15:00에 영업 시작15시 0분에 영업 시작
토비커피,서울 서초구 방배천로24길 11 1층 토비커피,0507-1332-6125,영업 중22:00에 영업 종료22시 0분에 영업 종료
금별맥주 이수역점,서울 동작구 동작대로27나길 21 금별맥주,0507-1365-5809,영업 전17:00에 영업 시작17시 0분에 영업 시작
제주호프,서울 동작구 동작대로27가길 44 1층,0507-1395-0311,영업 중22:00에 영업 종료22시 0분에 영업 종료
호요,서울 동작구 동작대로13길 6-7 1층 호요,0507-1445-0817,영업 전17:00에 영업 시작17시 0분에 영업 시작
멘쇼우라멘 이수,서울 동작구 동작대로27가길 42 1층,0507-1471-9885,영업 중21:00에 라스트오더21시 0분에 라스트오더
철길부산집 이수점,서울 동작구 동작대로27다길 29 서광시티뷰 1층 102호,0507-1354-2392,영업 전17:00에 영업 시작17시 0분에 영업 시작
족발팩토리 이수역점,서울 동작구 동작대로25길 22 1층 족발팩토리 이수역점,0507-1391-2046,영업 전15:30에 영업 시작15시 30분에 영업 시작
육대장 푸줏간 이수역점,서울 동작구 동작대로31길 17 1층,0507-1372-6484,영업 중21:30에 영업 종료21시 30분에 영업 종료
후라토식당 이수역점,서울 동작구 사당로28길 6 2층,0507-1474-0547,영업 중15:00에 브레이크타임15시 0분에 브레이크타임
화설 사당이수역점,서울 동작구 동작대로25길 13 1~2층,0507-1413-9935,영업 중15:00에 브레이크타임15시 0분에 브레이크타임
청와옥 사당직영점,서울 동작구 동작대로 71,0507-1325-0885,영업 중21:10에 라스트오더21시 10분에 라스트오더
솥고집 사당점,"서울 동작구 사당로 305 1, 2층",02-3482-9292,영업 중23:00에 영업 종료23시 0분에 영업 종료
이자카야 우규 이수역점,서울 동작구 동작대로27다길 14 1층 우규,0507-1430-1385,영업 전17:00에 영업 시작17시 0분에 영업 시작
지즐미육회관 사당점,서울 서초구 방배천로2길 39 1층,0507-1492-3356,영업 중21:00에 라스트오더21시 0분에 라스트오더
야끼니꾸 소량 이수점,서울 동작구 동작대로27가길 22 1층 지층,0507-1396-6479,영업 전15:00에 영업 시작15시 0분에 영업 시작
규스홈 레스토랑,서울 서초구 방배천로 62 1층 규스홈 레스토랑,02-598-5584,영업 중15:00에 브레이크타임15시 0분에 브레이크타임
이가식당가,서울 동작구 사당로30길 72 이가식당,02-585-9284,['영업시간 정보 없음']
스윗띵스랩,서울 서초구 서초대로1길 19-5 1층 스윗띵스랩,0507-1323-5035,영업 중19:45에 라스트오더19시 45분에 라스트오더
낙성곱창,서울 동작구 동작대로19길 60,02-3474-5777,영업 전14:00에 영업 시작14시 0분에 영업 시작
스시로로,서울 동작구 동작대로23길 29 1층,02-585-1015,영업 중22:00에 영업 종료22시 0분에 영업 종료
미국식 방배본점,서울 서초구 서초대로29길 17-2 1층,0507-1320-8914,영업 중14:30에 라스트오더14시 30분에 라스트오더
