상호명,주소,전화번호,영업시간
정선콩국수 소소정,서울 서초구 동광로 68 1층 정선콩국수 소소정,0507-1433-8667,"['매일11:00 - 22:0015:00 - 16:30 브레이크타임21:20 라스트오더', '- 8월 6일은 휴가 입니다 7일부터 운영 합니다']"
갯벌의조개 사당점,서울 관악구 남현1길 68-6 1층 제나호,0507-1420-2939,"['화11:30 - 23:3022:30 라스트오더', '수11:30 - 23:3022:30 라스트오더', '목11:30 - 23:3022:30 라스트오더', '금11:30 - 23:3022:30 라스트오더', '토11:30 - 23:3022:30 라스트오더', '일11:30 - 22:3021:30 라스트오더', '월11:30 - 22:3021:30 라스트오더']"
팔각도 이수역점,서울 동작구 동작대로27다길 12 1층,0507-1340-0420,['매일11:30 - 23:0022:10 라스트오더']
애플하우스,서울 동작구 동작대로27다길 29 2층,02-595-1629,"['매일10:30 - 21:0020:30 라스트오더', '놀라운토요일 323회, 24.07.13.2024년 7월 13일 즉석떡볶이펼쳐보기', '', '', '', '', '', '']"
외양간,서울 동작구 동작대로11길 16 1층,0507-1484-8223,"['화15:00 - 24:00', '수15:00 - 24:00', '목15:00 - 24:00', '금15:00 - 24:00', '토15:00 - 24:00', '일15:00 - 23:00', '월15:00 - 24:00']"
목구멍 이수점,서울 동작구 동작대로27길 16-4,0507-1417-1959,"['화16:00 - 01:00', '수16:00 - 01:00', '목16:00 - 01:00', '금16:00 - 01:00', '토12:00 - 23:00', '일12:00 - 23:00', '월16:00 - 01:00']"
이수가 본점,서울 동작구 동작대로29가길 30 1층,0507-1348-1372,"['화12:00 - 22:0014:30 - 16:00 브레이크타임21:00 라스트오더', '수12:00 - 22:0014:30 - 16:00 브레이크타임21:00 라스트오더', '목12:00 - 22:0014:30 - 16:00 브레이크타임21:00 라스트오더', '금12:00 - 22:0014:30 - 16:00 브레이크타임21:00 라스트오더', '토12:00 - 22:0021:00 라스트오더', '일12:00 - 22:0021:00 라스트오더', '월12:00 - 22:0014:30 - 16:00 브레이크타임21:00 라스트오더', '놀라운토요일 323회, 24.07.13.2024년 7월 13일 꽃닭볶음탕']"
제주호프,서울 동작구 동작대로27가길 44 1층,0507-1395-0311,"['화17:00 - 02:00', '수17:00 - 02:00', '목17:00 - 02:00', '금17:00 - 02:00', '토17:00 - 02:00', '일정기휴무 (매주 일요일)', '월17:00 - 02:00']"
금별맥주 이수역점,서울 동작구 동작대로27나길 21 금별맥주,0507-1365-5809,"['화17:00 - 03:0002:15 라스트오더', '수17:00 - 03:0002:15 라스트오더', '목17:00 - 03:0002:15 라스트오더', '금17:00 - 05:0004:15 라스트오더', '토15:00 - 05:0004:15 라스트오더', '일15:00 - 01:0000:15 라스트오더', '월17:00 - 03:0002:15 라스트오더']"
이수곱창,서울 동작구 동작대로27가길 6-4 1층 이수곱창,010-4554-9469,['매일14:00 - 24:0022:30 라스트오더']
