책이름,저자,출판사,출판일,가격,할인가,평점
이중 하나는 거짓말,김애란,문학동네,2024.08.27,"16,000원","14,400원",9.83
빛이 이끄는 곳으로,백희성,북로망스,2024.08.21,"18,800원","16,920원",9.91
불변의 법칙,모건 하우절,서삼독,2024.02.28,"25,000원","22,500원",9.49
술술 읽히는 군주론,니콜로 마키아벨리,힘찬북스,2024.08.08,"16,800원","15,120원",9.58
당신이 누군가를 죽였다,히가시노 게이고,북다,2024.07.23,"19,800원","17,820원",9.57
THE MONEY BOOK(더 머니북),토스,비바리퍼블리카,2024.05.27,"22,000원","19,800원",9.3
나는 도대체 왜 피곤할까,에이미 샤,북플레저,2024.07.10,"19,800원","17,820원",9.56
3분 철학 1: 서양 고대 철학편,김재훈 외,카시오페아,2021.07.02,"16,000원","14,400원",9.67
사피엔스 그래픽 히스토리 1: 인류의 탄생,유발 하라리 외,김영사,2020.11.23,"17,800원","16,020원",9.8
에그박사 13,에그박사,미래엔아이세움,2024.08.08,"15,800원","14,220원",9.91
모순,양귀자,쓰다,2013.04.01,"13,000원","11,700원",9.79
만일 나에게 단 한 번의 아침이 남아 있다면,존 릴런드,북모먼트,2024.06.26,"19,800원","17,820원",9.78
ETS 토익 정기시험 기출문제집 1000 Vol 4 RC(리딩),ETS,YBM,2023.12.18,"19,800원","17,820원",9.83
돈의 심리학(30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,2023.11.06,"19,800원","17,820원",9.6
예약판매고전이 답했다 마땅히 살아야 할 삶에 대하여,고명환,라곰,2024.08.26,"16,800원","15,120원",9.92
세이노의 가르침(100만 부 기념 리커버 에디션),세이노(SayNo),데이원,2023.03.02,"7,200원","6,480원",9.27
ETS 토익 정기시험 기출문제집 1000 Vol 4 LC(리스닝),ETS,YBM,2023.12.18,"19,800원","17,820원",9.89
예약판매영원한 천국,정유정,은행나무,2024.08.28,"19,800원","17,820원",10
하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024.03.28,"23,800원","21,420원",9.58
GROWTH THEORY [정규 7집],YOUNHA(윤하),KAKAO ENTERTAINMENT,2024.09.02,"25,000원","20,000원",0
