책이름,저자,출판사,출판일,가격,할인가,평점
당신이 누군가를 죽였다,히가시노 게이고,북다,2024-07-23,19800,17820,9.58
THE MONEY BOOK(더 머니북),토스,비바리퍼블리카,2024-05-27,22000,19800,9.31
불변의 법칙,모건 하우절,서삼독,2024-02-28,25000,22500,9.49
에그박사 13,에그박사,미래엔아이세움,2024-08-08,15800,14220,9.91
모순,양귀자,쓰다,2013-04-01,13000,11700,9.79
허송세월,김훈,나남,2024-06-20,18000,16200,9.62
명탐정 코난 105,Gosho AOYAMA,서울미디어코믹스(서울문화사),2024-08-16,6000,5400,9.8
초역 부처의 말,코이케 류노스케,포레스트북스,2024-05-30,17800,16020,9.52
흔한남매 이무기 2,이종혁,미래엔아이세움,2024-07-10,15800,14220,9.72
"다시, 역사의 쓸모",최태성,프런트페이지,2024-07-29,18000,16200,9.88
죽이고 싶은 아이 2,이꽃님,우리학교,2024-07-01,14000,12600,9.85
하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024-03-28,23800,21420,9.57
돈의 심리학(30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,2023-11-06,19800,17820,9.6
만일 나에게 단 한 번의 아침이 남아 있다면,존 릴런드,북모먼트,2024-06-26,19800,17820,9.78
마흔에 읽는 쇼펜하우어(200쇄 기념 확장판),강용수,유노북스,2023-09-07,17000,15300,9.38
나는 도대체 왜 피곤할까,에이미 샤,북플레저,2024-07-10,19800,17820,9.57
세이노의 가르침(100만 부 기념 리커버 에디션),세이노(SayNo),데이원,2023-03-02,7200,6480,9.27
3분 철학 1: 서양 고대 철학편,김재훈 외,카시오페아,2021-07-02,16000,14400,9.69
너에게 들려주는 단단한 말,김종원,퍼스트펭귄,2024-07-10,18000,16200,9.98
홍학의 자리,정해연,엘릭시르,2021-07-26,14000,12600,9.59
불안 세대,조너선 하이트,웅진지식하우스,2024-07-31,24800,22320,9.84
호감의 시작,희렌최,북로망스,2024-07-23,18500,16650,9.29
테러리스트 김구,정안기,미래사,2024-08-15,30000,27000,5.58
왜 당신은 다른 사람을 위해 살고 있는가,고윤(페이서스 코리아),딥앤와이드,2024-03-15,14000,12600,9.75
